,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
225,1595405043991618,164462032096,856,20169,24911
226,1595405044992588,164463033066,-462,19107,25168
227,1595405045993685,164464034163,-234,19197,25134
228,1595405046994737,164465035215,-255,19106,25141
229,1595405047995940,164466036418,-947,18337,25141
230,1595405048997001,164467037480,638,19638,25141
231,1595405049998100,164468038578,-67,19124,25141
232,1595405050999233,164469039711,329,19500,25141
233,1595405052000235,164470040713,435,19705,25141
234,1595405053001523,164471042001,930,20331,24990
235,1595405054002574,164472043052,-92,19588,24990
236,1595405055003616,164473044094,-999,18653,24910
237,1595405056004654,164474045132,-221,19131,24910
238,1595405057005725,164475046203,-33,19253,24833
239,1595405058007023,164476047502,243,19519,24743
240,1595405059008083,164477048562,190,19539,24652
241,1595405060009115,164478049594,574,19980,24825
242,1595405061010191,164479050669,-366,19212,24825
243,1595405062011272,164480051750,-272,19196,24830
244,1595405063012520,164481052999,636,20023,24825
245,1595405064013123,164482053601,-600,18978,24825
246,1595405065014204,164483054682,266,19664,24825
247,1595405066015279,164484055758,-323,19154,24830
248,1595405067016430,164485056908,270,19650,24830
249,1595405068017347,164486057825,-823,18638,24830
250,1595405069018588,164487059066,-43,19172,24830
251,1595405070019630,164488060108,124,19326,24830
252,1595405071020733,164489061211,-51,19188,24830
253,1595405072021742,164490062221,487,19711,24782
254,1595405073022807,164491063285,256,19626,24785
255,1595405074024022,164492064501,400,19846,24785
256,1595405075025161,164493065639,-589,18977,24785
257,1595405076026198,164494066676,-268,19122,24785
258,1595405077027289,164495067767,71,19380,24722
259,1595405078028352,164496068831,480,19811,24699
260,1595405079029553,164497070031,264,19739,24699
261,1595405080030697,164498071175,-438,19116,24760
262,1595405081031747,164499072225,-438,18984,24699
263,1595405082032735,164500073213,656,19947,24679
264,1595405083033873,164501074352,-83,19405,24825
265,1595405084035088,164502075566,337,19800,24760
266,1595405085036142,164503076621,182,19746,24781
267,1595405086036802,164504077280,-618,19001,24900
268,1595405087037667,164505078146,408,19841,24900
269,1595405088038544,164506079022,343,19899,24974
270,1595405089039439,164507079917,-626,19033,24974
271,1595405090039947,164508080425,-86,19385,24974
272,1595405091040503,164509080982,784,20229,24881
273,1595405092041582,164510082061,-172,19508,24974
274,1595405093042666,164511083144,-860,18769,25005
275,1595405094043683,164512084161,661,20032,24911
276,1595405095044751,164513085232,-975,18594,24911
277,1595405096045876,164514086354,115,19391,24798
278,1595405097046892,164515087371,146,19457,24798
279,1595405098048158,164516088636,331,19686,24784
280,1595405099049213,164517089692,249,19703,24784
281,1595405100050251,164518090729,-280,19249,24798
282,1595405101051321,164519091800,664,20109,24784
283,1595405102052388,164520092866,-349,19295,24784
284,1595405103053680,164521094159,-1082,18457,24800
285,1595405104054703,164522095181,169,19384,24800
286,1595405105055827,164523096305,497,19762,24784
287,1595405106056840,164524097319,382,19796,24828
